project_id	accession_id	species	cell	mate_id	pair_id	label	readType	read_length	file_type	qualities	file_location	dataType	rnaExtract	localization	replicate	lab	view	type
SnowFlake	Brain2	Gorilla gorilla	Brain	Brain2.1	Brain2	Brain2	2x100	100	fastq	phred	/users/rg/mmele/scratch/SnowFlake/B08BYABXX_7_1.fastq.gz	RnaSeq	LONGPOLYA	CELL	1	Tomas Marques	FastqRd1	fastq
SnowFlake	Brain2	Gorilla gorilla	Brain	Brain2.2	Brain2	Brain2	2x100	100	fastq	phred	/users/rg/mmele/scratch/SnowFlake/B08BYABXX_7_2.fastq.gz	RnaSeq	LONGPOLYA	CELL	1	Tomas Marques	FastqRd2	fastq
SnowFlake	Brain	Gorilla gorilla	Brain	Brain.1	Brain	Brain	2x76	76	fastq	solexa	/users/rg/mmele/scratch/SnowFlake/s_1_1_sequence.txt.fastq.gz	RnaSeq	LONGPOLYA	CELL	1	Tomas Marques	FastqRd1	fastq
SnowFlake	Brain	Gorilla gorilla	Brain	Brain.2	Brain	Brain	2x76	76	fastq	solexa	/users/rg/mmele/scratch/SnowFlake/s_1_2_sequence.txt.fastq.gz	RnaSeq	LONGPOLYA	CELL	1	Tomas Marques	FastqRd2	fastq
SnowFlake	Muscle2	Gorilla gorilla	Muscle	Muscle2.1	Muscle2	Muscle2	2x100	100	fastq	phred	/users/rg/mmele/scratch/SnowFlake/B08BYABXX_8_1.fastq.gz	RnaSeq	LONGPOLYA	CELL	1	Tomas Marques	FastqRd1	fastq
SnowFlake	Muscle2	Gorilla gorilla	Muscle	Muscle2.2	Muscle2	Muscle2	2x100	100	fastq	phred	/users/rg/mmele/scratch/SnowFlake/B08BYABXX_8_2.fastq.gz	RnaSeq	LONGPOLYA	CELL	1	Tomas Marques	FastqRd2	fastq
SnowFlake	Muscle	Gorilla gorilla	Muscle	Muscle.1	Muscle	Muscle	2x76	76	fastq	solexa	/users/rg/mmele/scratch/SnowFlake/s_2_1_sequence.txt.fastq.gz	RnaSeq	LONGPOLYA	CELL	1	Tomas Marques	FastqRd1	fastq
SnowFlake	Muscle	Gorilla gorilla	Muscle	Muscle.2	Muscle	Muscle	2x76	76	fastq	solexa	/users/rg/mmele/scratch/SnowFlake/s_2_2_sequence.txt.fastq.gz	RnaSeq	LONGPOLYA	CELL	1	Tomas Marques	FastqRd2	fastq
QBtau80	L2933sin1	Bos taurus	small_intestine	L2933sin1	L2933sin1	Low	1x80	80	fastq	solexa	/users/rg/dkedra/seqOUT/B.taurus.US/2933.SIN.01.1.nf.fastq.gz	RnaSeq	longPolyA	cell	1	Guigo(CRG)	RawData	fastq
QBtau80	L2933lvr1	Bos taurus	Liver	L2933lvr1	L2933lvr1	Low	1x80	80	fastq	solexa	/users/rg/dkedra/seqOUT/B.taurus.US/2933.LVR.01.1.nf.fastq.gz	RnaSeq	longPolyA	cell	1	Guigo(CRG)	RawData	fastq
QBtau80	H1688rem1	Bos taurus	rem_muscle	H1688rem1	H1688rem1	High	1x80	80	fastq	solexa	/users/rg/dkedra/seqOUT/B.taurus.US/1688.REM.01.1.nf.fastq.gz	RnaSeq	longPolyA	cell	1	Guigo(CRG)	RawData	fastq
QBtau80	H1688lvr1	Bos taurus	Liver	H1688lvr1	H1688lvr1	High	1x80	80	fastq	solexa	/users/rg/dkedra/seqOUT/B.taurus.US/1688.LVR.01.1.nf.fastq.gz	RnaSeq	longPolyA	cell	1	Guigo(CRG)	RawData	fastq
QBtau80	H1688lvr2	Bos taurus	Liver	H1688lvr2	H1688lvr2	High	1x80	80	fastq	solexa	/users/rg/dkedra/seqOUT/B.taurus.US/1688.LVR.02.1.nf.fastq.gz	RnaSeq	longPolyA	cell	1	Guigo(CRG)	RawData	fastq
QBtau80	L2933rem1	Bos taurus	rem_muscle	L2933rem1	L2933rem1	Low	1x80	80	fastq	solexa	/users/rg/dkedra/seqOUT/B.taurus.US/2933.REM.01.1.nf.fastq.gz	RnaSeq	longPolyA	cell	1	Guigo(CRG)	RawData	fastq
QBtau80	H1692sin1	Bos taurus	small_intestine	H1692sin1	H1692sin1	High	1x80	80	fastq	solexa	/users/rg/dkedra/seqOUT/B.taurus.US/1692.SIN.01.1.nf.fastq.gz	RnaSeq	longPolyA	cell	1	Guigo(CRG)	RawData	fastq
QBtau80	L2759sin1	Bos taurus	small_intestine	L2759sin1	L2759sin1	Low	1x80	80	fastq	solexa	/users/rg/dkedra/seqOUT/B.taurus.US/2759.SIN.01.1.nf.fastq.gz	RnaSeq	longPolyA	cell	1	Guigo(CRG)	RawData	fastq
QBtau80	L2512lvr2	Bos taurus	Liver	L2512lvr2	L2512lvr2	Low	1x80	80	fastq	solexa	/users/rg/dkedra/seqOUT/B.taurus.US/2512.LVR.02.1.nf.fastq.gz	RnaSeq	longPolyA	cell	1	Guigo(CRG)	RawData	fastq
QBtau80	L2512lvr1	Bos taurus	Liver	L2512lvr1	L2512lvr1	Low	1x80	80	fastq	solexa	/users/rg/dkedra/seqOUT/B.taurus.US/2512.LVR.01.1.nf.fastq.gz	RnaSeq	longPolyA	cell	1	Guigo(CRG)	RawData	fastq
QBtau80	H2921lvr1	Bos taurus	Liver	H2921lvr1	H2921lvr1	High	1x80	80	fastq	solexa	/users/rg/dkedra/seqOUT/B.taurus.US/2921.LVR.01.1.nf.fastq.gz	RnaSeq	longPolyA	cell	1	Guigo(CRG)	RawData	fastq
QBtau80	L2955lvr1	Bos taurus	Liver	L2955lvr1	L2955lvr1	Low	1x80	80	fastq	solexa	/users/rg/dkedra/seqOUT/B.taurus.US/2955.LVR.01.1.nf.fastq.gz	RnaSeq	longPolyA	cell	1	Guigo(CRG)	RawData	fastq
QBtau80	L2955lvr2	Bos taurus	Liver	L2955lvr2	L2955lvr2	Low	1x80	80	fastq	solexa	/users/rg/dkedra/seqOUT/B.taurus.US/2955.LVR.02.1.nf.fastq.gz	RnaSeq	longPolyA	cell	1	Guigo(CRG)	RawData	fastq
QBtau80	L2759rem1	Bos taurus	rem_muscle	L2759rem1	L2759rem1	Low	1x80	80	fastq	solexa	/users/rg/dkedra/seqOUT/B.taurus.US/2759.REM.01.1.nf.fastq.gz	RnaSeq	longPolyA	cell	1	Guigo(CRG)	RawData	fastq
QBtau80	H2482sin1	Bos taurus	small_intestine	H2482sin1	H2482sin1	High	1x80	80	fastq	solexa	/users/rg/dkedra/seqOUT/B.taurus.US/2482.SIN.01.1.nf.fastq.gz	RnaSeq	longPolyA	cell	1	Guigo(CRG)	RawData	fastq
QBtau80	L2512rem1	Bos taurus	rem_muscle	L2512rem1	L2512rem1	Low	1x80	80	fastq	solexa	/users/rg/dkedra/seqOUT/B.taurus.US/2512.REM.01.1.nf.fastq.gz	RnaSeq	longPolyA	cell	1	Guigo(CRG)	RawData	fastq
QBtau80	L2955rem1	Bos taurus	rem_muscle	L2955rem1	L2955rem1	Low	1x80	80	fastq	solexa	/users/rg/dkedra/seqOUT/B.taurus.US/2955.REM.01.1.nf.fastq.gz	RnaSeq	longPolyA	cell	1	Guigo(CRG)	RawData	fastq
