project_id	accession_id	species	cell	mate_id	pair_id	label	readType	file_type	qualities	mapper	mismatches	file_location	annotation	annotation_version	annotation_url	genome	genome_version	genome_url	dataType	rnaExtract	localization	replicate	lab	type
CLL	052TR76	Homo sapiens	B Lymphocyte	052TR.1	052TR	Tumor	2x76	fastq	solexa	GEM	2	/users/rg/dgonzalez/Projects/CLL/hg19/data/CRG/052TR76.r1.fastq.gz	/users/rg/dgonzalez/ReferenceAnnotations/H.sapiens/gencode.v6.annot.plus.tRNAs.gtf	Gencode6	http://genome.ucsc.edu/ENCODE/downloads.html	/users/rg/amerkel/projects/ENCODE/References/H.sapiens.genome.hg19.main.fa	hg19	http://genome.ucsc.edu/ENCODE/downloads.html	RNASeq	LONGPOLYA	CELL	1	CNAG	fastq
CLL	052TR76	Homo sapiens	B Lymphocyte	052TR.2	052TR	Tumor	2x76	fastq	solexa	GEM	2	/users/rg/dgonzalez/Projects/CLL/hg19/data/CRG/052TR76.r2.fastq.gz	/users/rg/dgonzalez/ReferenceAnnotations/H.sapiens/gencode.v6.annot.plus.tRNAs.gtf	Gencode6	http://genome.ucsc.edu/ENCODE/downloads.html	/users/rg/amerkel/projects/ENCODE/References/H.sapiens.genome.hg19.main.fa	hg19	http://genome.ucsc.edu/ENCODE/downloads.html	RNASeq	LONGPOLYA	CELL	1	CNAG	fastq
CLL	145TR76	Homo sapiens	B Lymphocyte	145TR.1	145TR	Tumor	2x76	fastq	phred	GEM	2	/users/rg/dgonzalez/Projects/CLL/hg19/data/Sept2011/D030UACXX_8_7_1.fastq.gz	/users/rg/dgonzalez/ReferenceAnnotations/H.sapiens/gencode.v6.annot.plus.tRNAs.gtf	Gencode6	http://genome.ucsc.edu/ENCODE/downloads.html	/users/rg/amerkel/projects/ENCODE/References/H.sapiens.genome.hg19.main.fa	hg19	http://genome.ucsc.edu/ENCODE/downloads.html	RNASeq	LONGPOLYA	CELL	1	CNAG	fastq
CLL	145TR76	Homo sapiens	B Lymphocyte	145TR.2	145TR	Tumor	2x76	fastq	phred	GEM	2	/users/rg/dgonzalez/Projects/CLL/hg19/data/Sept2011/D030UACXX_8_7_2.fastq.gz	/users/rg/dgonzalez/ReferenceAnnotations/H.sapiens/gencode.v6.annot.plus.tRNAs.gtf	Gencode6	http://genome.ucsc.edu/ENCODE/downloads.html	/users/rg/amerkel/projects/ENCODE/References/H.sapiens.genome.hg19.main.fa	hg19	http://genome.ucsc.edu/ENCODE/downloads.html	RNASeq	LONGPOLYA	CELL	1	CNAG	fastq
CLL	185TR76	Homo sapiens	B Lymphocyte	185TR.1	185TR	Tumor	2x76	fastq	phred	GEM	2	/users/rg/dgonzalez/Projects/CLL/hg19/data/Oct2011/D0933ACXX/D0933ACXX_6_11_1.fastq.gz	/users/rg/dgonzalez/ReferenceAnnotations/H.sapiens/gencode.v6.annot.plus.tRNAs.gtf	Gencode6	http://genome.ucsc.edu/ENCODE/downloads.html	/users/rg/amerkel/projects/ENCODE/References/H.sapiens.genome.hg19.main.fa	hg19	http://genome.ucsc.edu/ENCODE/downloads.html	RNASeq	LONGPOLYA	CELL	1	CNAG	fastq
CLL	185TR76	Homo sapiens	B Lymphocyte	185TR.2	185TR	Tumor	2x76	fastq	phred	GEM	2	/users/rg/dgonzalez/Projects/CLL/hg19/data/Oct2011/D0933ACXX/D0933ACXX_6_11_2.fastq.gz	/users/rg/dgonzalez/ReferenceAnnotations/H.sapiens/gencode.v6.annot.plus.tRNAs.gtf	Gencode6	http://genome.ucsc.edu/ENCODE/downloads.html	/users/rg/amerkel/projects/ENCODE/References/H.sapiens.genome.hg19.main.fa	hg19	http://genome.ucsc.edu/ENCODE/downloads.html	RNASeq	LONGPOLYA	CELL	1	CNAG	fastq
CLL	157TR76	Homo sapiens	B Lymphocyte	157TR.1	157TR	Tumor	2x76	fastq	solexa	GEM	2	/users/rg/dgonzalez/Projects/CLL/hg19/data/157TR/s_4_1_sequence.fastq.gz	/users/rg/dgonzalez/ReferenceAnnotations/H.sapiens/gencode.v6.annot.plus.tRNAs.gtf	Gencode6	http://genome.ucsc.edu/ENCODE/downloads.html	/users/rg/amerkel/projects/ENCODE/References/H.sapiens.genome.hg19.main.fa	hg19	http://genome.ucsc.edu/ENCODE/downloads.html	RNASeq	LONGPOLYA	CELL	1	CNAG	fastq
CLL	157TR76	Homo sapiens	B Lymphocyte	157TR.2	157TR	Tumor	2x76	fastq	solexa	GEM	2	/users/rg/dgonzalez/Projects/CLL/hg19/data/157TR/s_4_2_sequence.fastq.gz	/users/rg/dgonzalez/ReferenceAnnotations/H.sapiens/gencode.v6.annot.plus.tRNAs.gtf	Gencode6	http://genome.ucsc.edu/ENCODE/downloads.html	/users/rg/amerkel/projects/ENCODE/References/H.sapiens.genome.hg19.main.fa	hg19	http://genome.ucsc.edu/ENCODE/downloads.html	RNASeq	LONGPOLYA	CELL	1	CNAG	fastq
CLL	124TR76	Homo sapiens	B Lymphocyte	124TR.1	124TR	Tumor	2x76	fastq	phred	GEM	2	/users/rg/dgonzalez/Projects/CLL/hg19/data/Sept2011/D030UACXX_8_5_1.fastq.gz	/users/rg/dgonzalez/ReferenceAnnotations/H.sapiens/gencode.v6.annot.plus.tRNAs.gtf	Gencode6	http://genome.ucsc.edu/ENCODE/downloads.html	/users/rg/amerkel/projects/ENCODE/References/H.sapiens.genome.hg19.main.fa	hg19	http://genome.ucsc.edu/ENCODE/downloads.html	RNASeq	LONGPOLYA	CELL	1	CNAG	fastq
CLL	124TR76	Homo sapiens	B Lymphocyte	124TR.2	124TR	Tumor	2x76	fastq	phred	GEM	2	/users/rg/dgonzalez/Projects/CLL/hg19/data/Sept2011/D030UACXX_8_5_2.fastq.gz	/users/rg/dgonzalez/ReferenceAnnotations/H.sapiens/gencode.v6.annot.plus.tRNAs.gtf	Gencode6	http://genome.ucsc.edu/ENCODE/downloads.html	/users/rg/amerkel/projects/ENCODE/References/H.sapiens.genome.hg19.main.fa	hg19	http://genome.ucsc.edu/ENCODE/downloads.html	RNASeq	LONGPOLYA	CELL	1	CNAG	fastq
