project_id	accession_id	species	cell	mate_id	pair_id	label	readType	read_length	file_type	qualities	mapper	mismatches	file_location	annotation	annotation_version	annotation_url	genome	genome_version	genome_url	dataType	rnaExtract	localization	replicate	lab	type
QBtau	L2933sin1	Bos taurus	small_intestine	L2933sin1	L2933sin1	Low	1x80	80	fastq	solexa	GEM	2	/users/rg/dkedra/seqOUT/B.taurus.US/2933.SIN.01.1.nf.fastq.gz	/users/rg/dkedra/Reference/Annotation/B.taurus/Bos_taurus.UMD3.1.65.gtf	UMD3	http://www.cbcb.umd.edu/research/bos_taurus_assembly.shtml	/users/rg/dkedra/Reference/Genome/B.taurus/Btau.UMD3.1.65.genome.fa	UMD3	http://www.cbcb.umd.edu/research/bos_taurus_assembly.shtml	RnaSeq	longPolyA	cell	1	Guigo(CRG)	fastq
QBtau	L2933lvr1	Bos taurus	Liver	L2933lvr1	L2933lvr1	Low	1x80	80	fastq	solexa	GEM	2	/users/rg/dkedra/seqOUT/B.taurus.US/2933.LVR.01.1.nf.fastq.gz	/users/rg/dkedra/Reference/Annotation/B.taurus/Bos_taurus.UMD3.1.65.gtf	UMD3	http://www.cbcb.umd.edu/research/bos_taurus_assembly.shtml	/users/rg/dkedra/Reference/Genome/B.taurus/Btau.UMD3.1.65.genome.fa	UMD3	http://www.cbcb.umd.edu/research/bos_taurus_assembly.shtml	RnaSeq	longPolyA	cell	1	Guigo(CRG)	fastq
QBtau	H1688rem1	Bos taurus	rem_muscle	H1688rem1	H1688rem1	High	1x80	80	fastq	solexa	GEM	2	/users/rg/dkedra/seqOUT/B.taurus.US/1688.REM.01.1.nf.fastq.gz	/users/rg/dkedra/Reference/Annotation/B.taurus/Bos_taurus.UMD3.1.65.gtf	UMD3	http://www.cbcb.umd.edu/research/bos_taurus_assembly.shtml	/users/rg/dkedra/Reference/Genome/B.taurus/Btau.UMD3.1.65.genome.fa	UMD3	http://www.cbcb.umd.edu/research/bos_taurus_assembly.shtml	RnaSeq	longPolyA	cell	1	Guigo(CRG)	fastq
QBtau	H1688lvr1	Bos taurus	Liver	H1688lvr1	H1688lvr1	High	1x80	80	fastq	solexa	GEM	2	/users/rg/dkedra/seqOUT/B.taurus.US/1688.LVR.01.1.nf.fastq.gz	/users/rg/dkedra/Reference/Annotation/B.taurus/Bos_taurus.UMD3.1.65.gtf	UMD3	http://www.cbcb.umd.edu/research/bos_taurus_assembly.shtml	/users/rg/dkedra/Reference/Genome/B.taurus/Btau.UMD3.1.65.genome.fa	UMD3	http://www.cbcb.umd.edu/research/bos_taurus_assembly.shtml	RnaSeq	longPolyA	cell	1	Guigo(CRG)	fastq
QBtau	H1688lvr2	Bos taurus	Liver	H1688lvr2	H1688lvr2	High	1x80	80	fastq	solexa	GEM	2	/users/rg/dkedra/seqOUT/B.taurus.US/1688.LVR.02.1.nf.fastq.gz	/users/rg/dkedra/Reference/Annotation/B.taurus/Bos_taurus.UMD3.1.65.gtf	UMD3	http://www.cbcb.umd.edu/research/bos_taurus_assembly.shtml	/users/rg/dkedra/Reference/Genome/B.taurus/Btau.UMD3.1.65.genome.fa	UMD3	http://www.cbcb.umd.edu/research/bos_taurus_assembly.shtml	RnaSeq	longPolyA	cell	1	Guigo(CRG)	fastq
QBtau	L2933rem1	Bos taurus	rem_muscle	L2933rem1	L2933rem1	Low	1x80	80	fastq	solexa	GEM	2	/users/rg/dkedra/seqOUT/B.taurus.US/2933.REM.01.1.nf.fastq.gz	/users/rg/dkedra/Reference/Annotation/B.taurus/Bos_taurus.UMD3.1.65.gtf	UMD3	http://www.cbcb.umd.edu/research/bos_taurus_assembly.shtml	/users/rg/dkedra/Reference/Genome/B.taurus/Btau.UMD3.1.65.genome.fa	UMD3	http://www.cbcb.umd.edu/research/bos_taurus_assembly.shtml	RnaSeq	longPolyA	cell	1	Guigo(CRG)	fastq
QBtau	H1692sin1	Bos taurus	small_intestine	H1692sin1	H1692sin1	High	1x80	80	fastq	solexa	GEM	2	/users/rg/dkedra/seqOUT/B.taurus.US/1692.SIN.01.1.nf.fastq.gz	/users/rg/dkedra/Reference/Annotation/B.taurus/Bos_taurus.UMD3.1.65.gtf	UMD3	http://www.cbcb.umd.edu/research/bos_taurus_assembly.shtml	/users/rg/dkedra/Reference/Genome/B.taurus/Btau.UMD3.1.65.genome.fa	UMD3	http://www.cbcb.umd.edu/research/bos_taurus_assembly.shtml	RnaSeq	longPolyA	cell	1	Guigo(CRG)	fastq
QBtau	L2759sin1	Bos taurus	small_intestine	L2759sin1	L2759sin1	Low	1x80	80	fastq	solexa	GEM	2	/users/rg/dkedra/seqOUT/B.taurus.US/2759.SIN.01.1.nf.fastq.gz	/users/rg/dkedra/Reference/Annotation/B.taurus/Bos_taurus.UMD3.1.65.gtf	UMD3	http://www.cbcb.umd.edu/research/bos_taurus_assembly.shtml	/users/rg/dkedra/Reference/Genome/B.taurus/Btau.UMD3.1.65.genome.fa	UMD3	http://www.cbcb.umd.edu/research/bos_taurus_assembly.shtml	RnaSeq	longPolyA	cell	1	Guigo(CRG)	fastq
QBtau	L2512lvr2	Bos taurus	Liver	L2512lvr2	L2512lvr2	Low	1x80	80	fastq	solexa	GEM	2	/users/rg/dkedra/seqOUT/B.taurus.US/2512.LVR.02.1.nf.fastq.gz	/users/rg/dkedra/Reference/Annotation/B.taurus/Bos_taurus.UMD3.1.65.gtf	UMD3	http://www.cbcb.umd.edu/research/bos_taurus_assembly.shtml	/users/rg/dkedra/Reference/Genome/B.taurus/Btau.UMD3.1.65.genome.fa	UMD3	http://www.cbcb.umd.edu/research/bos_taurus_assembly.shtml	RnaSeq	longPolyA	cell	1	Guigo(CRG)	fastq
QBtau	L2512lvr1	Bos taurus	Liver	L2512lvr1	L2512lvr1	Low	1x80	80	fastq	solexa	GEM	2	/users/rg/dkedra/seqOUT/B.taurus.US/2512.LVR.01.1.nf.fastq.gz	/users/rg/dkedra/Reference/Annotation/B.taurus/Bos_taurus.UMD3.1.65.gtf	UMD3	http://www.cbcb.umd.edu/research/bos_taurus_assembly.shtml	/users/rg/dkedra/Reference/Genome/B.taurus/Btau.UMD3.1.65.genome.fa	UMD3	http://www.cbcb.umd.edu/research/bos_taurus_assembly.shtml	RnaSeq	longPolyA	cell	1	Guigo(CRG)	fastq
